,NDB_NO,Description,Weight(g),Measure,"Fatty acids, total saturated (g)","Fatty acids, total polyunsaturated (g)",Fructose (g),"Sugars, total (g)",Thiamin (mg),Leucine (g),6:0 (g),22:4 (g),"Folate, food (µg)","18:3 n-3 c,c,c (ALA) (g)",Vitamin E (alpha-tocopherol) (mg),Phenylalanine (g),Lysine (g),22:1 c (g),"Fluoride, F (µg)","Tocotrienol, beta (mg)",18:1 t (g),20:1 (g),15:1 (g),Glutamic acid (g),Aspartic acid (g),17:1 (g),21:5 (g),"20:2 n-6 c,c (g)","Fiber, total dietary (g)",20:3 n-3 (g),Lutein + zeaxanthin (µg),Menaquinone-4 (µg),"Tocotrienol, alpha (mg)",Alanine (g),13:0 (g),Beta-sitosterol (mg),18:4 (g),Retinol (µg),18:1-11 t (18:1t n-7) (g),Caffeine (mg),Hydroxyproline (g),Protein (g),Lycopene (µg),Niacin (mg),"Copper, Cu (mg)",17:0 (g),18:0 (g),18:3 undifferentiated (g),Glucose (dextrose) (g),14:1 (g),"Folate, DFE (µg)",20:3 undifferentiated (g),20:4 n-6 (g),"Vitamin E, added (mg)",22:6 n-3 (DHA) (g),Threonine (g),"18:3 n-6 c,c,c (g)",Maltose (g),Energy (kJ),"Fatty acids, total trans-monoenoic (g)",14:0 (g),Phytosterols (mg),"Iron, Fe (mg)",Cystine (g),"Fatty acids, total trans-polyenoic (g)",Water (g),"Cryptoxanthin, beta (µg)","Tocopherol, gamma (mg)",Glycine (g),"Calcium, Ca (mg)",16:1 t (g),"Carotene, beta (µg)",15:0 (g),Riboflavin (mg),20:5 n-3 (EPA) (g),Vitamin B-12 (µg),"Fatty acids, total monounsaturated (g)",Vitamin K (phylloquinone) (µg),"Vitamin A, RAE (µg)",12:0 (g),Vitamin B-6 (mg),22:0 (g),Ash (g),"Tocopherol, delta (mg)",22:1 undifferentiated (g),Vitamin D3 (cholecalciferol) (µg),24:0 (g),Campesterol (mg),16:1 c (g),"Sodium, Na (mg)",4:0 (g),Galactose (g),22:5 n-3 (DPA) (g),"Alcohol, ethyl (g)",18:2 undifferentiated (g),"Potassium, K (mg)",Betaine (mg),Proline (g),Total lipid (fat) (g),16:1 undifferentiated (g),18:2 t not further defined (g),18:2 i (g),Sucrose (g),"Vitamin A, IU (IU)",Energy (kcal),24:1 c (g),Tryptophan (g),Starch (g),Cholesterol (mg),Tyrosine (g),20:0 (g),"Selenium, Se (µg)",Folic acid (µg),"Manganese, Mn (mg)","Folate, total (µg)",Isoleucine (g),16:0 (g),"Phosphorus, P (mg)","Vitamin B-12, added (µg)_x","Choline, total (mg)_x",Serine (g)_x,"Vitamin B-12, added (µg)_y","Choline, total (mg)_y",Serine (g)_y,"Carbohydrate, by difference (g)",22:1 t (g),"18:2 t,t (g)","Carotene, alpha (µg)",Vitamin D (IU),18:1 c (g),"18:2 n-6 c,c (g)",Stigmasterol (mg),Pantothenic acid (mg),Arginine (g),Vitamin D2 (ergocalciferol) (µg),10:0 (g),Vitamin D (D2 + D3) (µg),Valine (g),"Magnesium, Mg (mg)",18:1 undifferentiated (g),Histidine (g),Dihydrophylloquinone (µg),20:3 n-6 (g),20:4 undifferentiated (g),"Fatty acids, total trans (g)",Theobromine (mg),"Tocotrienol, delta (mg)","Vitamin C, total ascorbic acid (mg)","Tocotrienol, gamma (mg)",Methionine (g),8:0 (g),Lactose (g),18:2 CLAs (g)
247,"""21415""","POPEYES, biscuit",60.0,1.0 biscuit,6.909,2.627,0.00,2.08,0.276,0.263,0.004,0.000,,0.241,0.61,0.176,0.113,0.000,,0.0,0.026,0.020,0.0,1.149,0.188,0.004,,0.001,2.3,0.001,,,,,,,,38,,,,,,1.944,0.040,0.016,0.779,0.250,0.00,0.001,,,,,,0.107,0.009,0.33,1007,0.026,0.141,,,,0.018,15.91,,1.84,0.113,65.0,0.000,,0.01,0.166,,0.00,3.412,,38,0.038,0.028,0.018,1.69,0.61,0.000,,,,0.015,447.0,0.008,0.00,,,2.374,104.0,,0.389,14.23,0.015,0.018,,0.44,127.0,241.0,0.000,0.044,21.94,1,0.094,0.046,2.5,,,,0.138,5.824,185.0,,,,,,,24.57,0.000,,,,,2.35,,0.273,0.125,,0.008,,,,3.373,0.075,,0.000,0.002,0.044,,,,0.34,0.063,0.005,1.3,0.007
248,"""21416""","POPEYES, Coleslaw",120.0,1.0 package,2.264,7.022,1.73,13.0,0.018,0.036,0.012,0.002,,0.042,,0.024,0.036,0.006,,,,,0.0,0.132,0.084,0.014,,0.004,2.0,0.002,,,,,,,,67,,,,,,0.247,0.017,0.029,0.62,0.074,1.98,0.0,,0.016,,,,0.036,0.032,0.00,809,0.011,0.006,,,,0.042,87.41,,,,,0.001,,0.005,0.03,0.013,0.00,4.007,,67,0.002,0.122,0.050,1.04,,0.012,,,,0.031,262.0,0.005,0.00,0.001,,6.894,142.0,,0.012,13.42,0.032,0.042,,9.29,222.0,193.0,0.007,0.008,,8,0.012,0.048,,,,,0.036,1.435,24.0,,,,,,,16.94,0.006,,,,,6.823,,0.300,0.06,,0.016,,,,3.064,0.024,,0.012,0.008,0.053,,,,,,,0.0,0.029
249,"""21456""","POPEYES, Fried Chicken, Mild, Breast, meat and skin with breading",194.0,"1.0 breast, with skin",11.184,3.554,0.00,0.0,0.198,2.563,0.002,0.027,,,,,1.824,,,,,,0.006,9.832,2.856,0.097,,0.029,0.8,,,,,,,,,,,,1.141,42.04,,17.437,0.083,0.180,3.141,0.180,0.00,0.128,,0.052,,,,1.387,,0.00,2225,,0.533,,,,,,,,,,,,,0.318,0.004,0.70,14.125,,31,0.025,0.755,0.010,4.95,,0.006,,,,,,,0.00,0.010,,3.158,549.0,,3.374,31.95,1.680,,,,103.0,532.0,0.008,0.322,15.27,190,1.286,0.029,57.0,,,,1.234,7.153,371.0,,,,,,,19.07,,,,,,,,,2.378,,0.014,,,,12.08,1.001,,,,,,,,,,,0.0,
250,"""21442""","POPEYES, Fried Chicken, Mild, Breast, meat only, skin and breading removed",132.0,1.0 breast without skin,1.806,0.787,,,,,0.0,0.013,,0.044,0.28,1.463,1.659,0.003,,0.0,0.092,0.032,0.0,8.944,2.599,0.012,,0.011,,,,,,,,,,5,,,1.002,38.25,,12.399,0.069,0.022,0.513,0.046,,0.018,,0.024,,,,1.262,0.001,,865,0.099,0.065,,,,0.011,85.5,,0.08,3.216,26.0,0.007,,0.012,0.317,0.000,0.44,2.361,,5,0.007,0.488,0.004,2.98,0.00,0.003,,,,0.228,694.0,0.009,,,,0.626,432.0,10.6,3.07,5.97,0.235,0.011,,,16.0,207.0,0.000,0.293,,128,1.171,0.005,46.5,,,,1.123,1.146,289.0,,,,,,,0.0,,,,,,0.607,,1.980,2.163,,0.022,,,,2.061,0.911,,0.021,0.057,0.110,,,,0.0,0.554,,,
251,"""21457""","POPEYES, Fried Chicken, Mild, Drumstick, meat and skin with breading",76.0,"1.0 drumstick, with skin",5.009,1.692,,,,,0.001,0.014,,0.071,,0.594,0.674,0.003,,,,,0.002,3.632,1.055,0.040,,0.013,,,,,,,,,,17,,,0.401,15.53,,4.137,0.056,0.078,1.391,0.086,,0.057,,0.023,,,,0.512,0.014,,933,0.366,0.233,,,,0.04,36.59,,,,,0.023,,0.034,0.19,0.002,0.47,6.451,,,0.011,0.179,0.005,1.85,,0.003,,,,0.784,447.0,0.002,,,,1.497,198.0,,1.246,14.55,0.806,0.04,,,,,,0.119,,82,0.475,0.014,21.2,,,,0.456,3.228,130.0,,,,,,,7.48,0.000,,,,,1.425,,0.916,0.879,,0.006,,,,5.483,0.370,,0.022,0.047,0.407,,,,,,,,
252,"""21443""","POPEYES, Fried Chicken, Mild, Drumstick, meat only, skin and breading removed",44.0,"1.0 drumstick, bone and skin removed",1.004,0.445,,,,,0.0,0.008,,0.015,,0.446,0.506,0.001,,,,,0.001,2.728,0.792,0.006,,0.004,,,,,,,,,,4,,,0.302,11.66,,2.706,0.037,0.011,0.269,0.018,,0.009,,0.010,,,,0.385,0.004,,314,0.049,0.034,,,,0.008,28.24,,,,,0.004,,0.005,0.15,0.001,0.37,1.355,,,0.003,0.130,0.002,0.94,,0.001,,,,0.194,210.0,0.001,,,,0.369,141.0,,0.936,3.14,0.197,0.008,,,,,,0.089,,56,0.357,0.003,15.2,,,,0.342,0.671,91.0,,,,,,,0.02,0.000,,,,,0.356,,0.646,0.66,,0.002,,,,1.126,0.278,,0.010,0.029,0.057,,,,,,,,
253,"""21458""","POPEYES, Fried Chicken, Mild, Thigh, meat and skin with breading",138.0,1.0 thigh with skin,10.135,3.170,0.00,0.0,0.190,1.595,0.001,0.022,,,,,1.136,,,0.1,,0.134,0.0,6.119,1.777,0.116,,0.021,0.7,,,,,,,,,26,,,0.654,26.41,,7.848,0.116,0.195,3.018,0.148,0.00,0.132,,0.037,,,,0.864,,0.00,1791,,0.483,,,,,,,0.14,2.200,41.0,,,,0.476,0.003,0.66,12.598,,26,0.019,0.324,0.010,3.13,0.04,0.004,,,,,,,0.00,0.008,,2.835,335.0,,2.1,28.97,1.310,,,,88.0,428.0,0.003,0.2,13.92,148,0.8,0.028,39.2,,,,0.769,6.283,211.0,,,,,,,15.46,,,,,,,,,1.479,,0.012,,,,10.899,0.624,,,,,,,,0.0,0.380,0.004,0.0,
254,"""21445""","POPEYES, Fried Chicken, Mild, Thigh, meat only, skin and breading removed",83.0,1.0 thigh thigh without skin,2.439,1.244,,,,,0.001,0.013,,0.05,0.23,0.761,0.863,0.002,,0.0,0.070,0.042,0.0,4.652,1.351,0.015,,0.009,,,,,,,,,,11,,,0.525,20.18,,4.997,0.081,0.019,0.578,0.051,,0.021,,0.018,,,,0.657,0.001,,652,0.076,0.069,,,,0.011,52.44,,0.04,1.672,28.0,0.006,,0.01,0.338,0.002,0.49,3.409,,11,0.005,0.302,0.001,1.66,0.00,0.002,,,,0.45,499.0,0.003,,,,1.083,244.0,,1.596,8.02,0.455,0.011,,,37.0,156.0,0.000,0.152,,109,0.608,0.005,28.4,,,,0.584,1.744,155.0,,,,,,,0.71,0.000,,,,,1.062,,1.332,1.125,,0.002,,,,2.875,0.474,,0.017,0.059,0.086,,,,0.0,0.288,0.001,,
255,"""21459""","POPEYES, Fried Chicken, Mild, Wing, meat and skin with breading",57.0,"1.0 wing, with skin",4.572,1.346,0.00,0.0,0.078,0.709,0.0,0.010,,,,,0.504,,,0.05,,0.059,0.0,2.719,0.790,0.054,,0.009,0.3,,,,,,,,,11,,,0.291,11.63,,3.731,0.045,0.093,1.4,0.063,0.00,0.062,,0.018,,,,0.384,,0.00,806,,0.228,,,,,,,0.07,0.978,18.0,,,,0.165,0.002,0.31,5.584,,11,0.009,0.108,0.006,1.54,0.02,0.002,,,,,,,0.00,0.005,,1.198,140.0,4.4,0.933,12.81,0.556,,,,36.0,193.0,0.003,0.089,6.55,65,0.356,0.013,17.8,,,,0.341,2.778,85.0,,,,,,,7.71,,,,,,,,,0.658,,0.005,,,,4.847,0.277,,,,,,,,0.02,0.168,0.002,0.0,
256,"""21446""","POPEYES, Fried Chicken, Mild, Wing, meat only, skin and breading removed",16.0,"1.0 wing without skin, bone and breading",0.493,0.223,,,,,0.0,0.004,,0.008,0.06,0.177,0.201,0.000,,0.0,0.026,0.008,0.0,1.083,0.315,0.004,,0.002,,,,,,,,,,2,,,0.123,4.63,,1.3,0.015,0.006,0.133,0.008,,0.005,,0.005,,,,0.153,0.000,,142,0.028,0.018,,,,0.004,8.94,,0.02,0.389,6.0,0.002,,0.003,0.048,0.000,0.12,0.644,,2,0.001,0.048,,0.46,0.00,0.000,,,,0.075,130.0,0.0,,,,0.187,50.0,2.9,0.372,1.51,0.077,0.004,,,6.0,34.0,0.001,0.035,,25,0.142,0.002,6.8,,,,0.136,0.328,30.0,,,,,,,0.46,0.000,,,,,0.181,,0.216,0.262,,0.000,,,,0.549,0.110,,0.005,0.013,0.031,,,,0.01,0.067,0.000,,
257,"""21417""","POPEYES, Mild Chicken Strips, analyzed 2006",54.0,1.0 strip,2.939,0.679,0.00,0.0,0.065,0.783,0.003,0.006,,0.003,,0.421,0.734,0.003,,,,,0.0,2.138,0.864,0.063,,0.006,0.4,0.002,,,,,,,,,,,,,,4.491,0.033,0.081,0.951,0.007,0.00,0.047,,0.012,,,,0.416,0.004,0.00,613,0.320,0.169,,,,0.044,24.4,,,,,0.021,,0.028,0.066,0.014,0.06,3.349,,,0.004,0.262,0.007,1.78,,0.005,,,,0.313,498.0,0.002,0.00,0.003,,0.584,145.0,,0.545,7.03,0.334,0.044,,0.00,,,,0.124,9.80,28,0.27,0.009,10.6,,,,0.443,1.648,143.0,,,,,,,10.43,0.002,,,,,0.509,,0.572,0.594,,0.009,,,,2.851,0.335,,0.011,0.027,0.365,,,,,,,0.0,0.031
258,"""21418""","POPEYES, Spicy Chicken Strips, analyzed 2006",53.0,1.0 strip,2.514,0.589,0.00,0.0,0.062,0.779,0.006,0.006,,0.004,,0.417,0.736,0.003,,,,,0.0,1.888,0.873,0.054,,0.004,0.6,0.001,,,,,,,,,,,,,,4.606,0.038,0.073,0.823,0.008,0.00,0.038,,0.012,,,,0.413,0.004,0.00,562,0.266,0.147,,,,0.035,24.97,,,,,0.011,,0.023,0.069,0.002,0.11,2.82,,,0.005,0.226,,1.89,,0.004,,,,0.262,528.0,0.002,0.00,0.002,,0.518,153.0,,0.526,5.94,0.273,0.035,,0.00,,,,0.125,9.30,28,0.271,0.008,10.0,,,,0.429,1.406,146.0,,,,,,,9.82,0.002,,,,,0.458,,0.583,0.581,,0.010,,,,2.414,0.334,,0.011,0.029,0.301,,,,,,,0.0,0.024
259,"""21611""","School Lunch, chicken nuggets, whole grain breaded",88.0,5.0 pieces,2.49,3.686,,0.43,0.081,,0.0,,5,,,,,,,,,,,,,,,,1.9,,0,,,,,,,14,,0,,,,5.267,0.065,,0.435,0.235,,,,,,,,,,,994,,0.036,,,,,,,,,,,,,0.18,0.002,0.21,3.162,9.2,14,0.004,0.272,0.019,1.8,,0.003,,,,,,,,,,3.401,203.0,,,,,,,,48.0,238.0,,,,,,,,4,0.259,10,,,,0.0,39.5,,0.0,39.5,,20.12,,,0.0,10,,,,,,,,0.3,,21.0,2.858,,,,,,0.0,,0.5,,,,,
260,"""21610""","School Lunch, chicken patty, whole grain breaded",86.0,1.0 patty,2.272,5.670,,0.47,0.083,,0.0,,4,,,,,,,,,,,,,,,,2.0,,0,,,,,,,,,0,,,,4.389,0.083,,0.414,0.150,,,,,,,,,,,885,,0.000,,,,,,,,,,,,,0.139,0.000,0.27,3.781,4.2,0,0.0,0.168,,1.79,,0.000,,,,,,,,,,5.52,239.0,,,,,,,,2.0,212.0,,,,,,,,3,0.244,8,,,,0.0,30.9,,0.0,30.9,,10.75,,,0.0,10,,,,,,,,0.3,,22.0,3.47,,,,,,0.0,,0.6,,,,,
261,"""21145""","School Lunch, pizza, BIG DADDY'S LS 16"" 51% Whole Grain Rolled Edge Cheese Pizza, frozen",155.0,1.0 slice 1/8 per pizza,6.417,1.612,1.47,7.39,0.356,,,,,,,,,,,,,,,,,,,,4.2,,,,,,,,,48,,,,,,4.774,,,,,,,,,,,,,,,1578,,,,,,,,,,,,,,,0.264,,3.10,3.55,,,,,,3.38,,,,,,,,,,,,,,,,,,,,,336.0,377.0,,,,,,,,,,,,,,,,,,,,42.01,,,,,,,,,,,,,,,,,,,,,,,,,,,0.91,
262,"""21146""","School Lunch, pizza, BIG DADDY'S LS 16"" 51% Whole Grain Rolled Edge Turkey Pepperoni Pizza, frozen",156.0,1.0 slice 1/8 per pizza,6.224,1.794,1.62,5.97,0.312,,,,,,,,,,,,,,,,,,,,6.4,,,,,,,,,53,,,,,,3.733,,,,,,,,,,,,,,,1618,,,,,,,,,,,,,,,0.421,,1.76,4.29,,,,,,3.31,,,,,,,,,,,,,,,,,,,,,381.0,387.0,,,,,,,,,,,,,,,,,,,,42.67,,,,,,,,,,,,,,,,,,,,,,,,,,,1.19,
263,"""21601""","School Lunch, pizza, cheese topping, thick crust, whole grain, frozen, cooked",124.0,1.0 slice per 1/10 pizza,5.404,1.358,,6.22,0.300,,0.138,,47,,,,,,,,,,,,,,,,3.6,,68,,,,,,,40,,0,,,,4.02,0.216,,0.956,0.095,,,,,,,,,,,1319,,0.759,,,,,,,,,,,,,0.222,0.002,2.60,2.99,7.2,47,0.237,0.129,,2.84,,0.000,,,,,,,,,,1.035,376.0,,,,,,,,283.0,315.0,,,,,,,,62,1.742,109,,,,0.0,22.2,,0.0,22.2,,34.82,,,0.0,,,,,,,,,0.0,,50.0,2.475,,,,,,0.0,,0.5,,,,,
264,"""21600""","School Lunch, pizza, cheese topping, thin crust, whole grain, frozen, cooked",130.0,"1.0 piece 4""x6""",5.2,0.968,,9.26,0.369,,0.151,,25,,,,,,,,,,,,,,,,5.2,,40,,,,,,,77,,0,,,,3.895,0.127,,0.958,0.087,,,,,,,,,,,1346,,0.832,,,,,,,,,,,,,0.451,0.003,1.94,2.388,5.5,86,0.259,0.212,,3.16,,0.000,,,,,,,,,,0.861,452.0,,,,,,,,443.0,321.0,,,,,,,,44,0.408,70,,,,0.0,24.7,,0.0,24.7,,40.7,,,0.0,,,,,,,,,0.0,,66.0,2.235,,,,,,0.0,,,,,,,
265,"""21603""","School Lunch, pizza, pepperoni topping, thick crust, whole grain, frozen, cooked",124.0,1.0 slice per 1/10 pizza,5.232,1.500,,5.0,0.262,,0.125,,25,,,,,,,,,,,,,,,,5.3,,26,,,,,,,45,,0,,,,3.124,0.098,,1.109,0.077,,,,,,,,,,,1343,,0.744,,,,,,,,,,,,,0.352,0.002,1.48,3.584,13.4,53,0.216,0.177,,2.77,,0.000,,,,,,,,,,0.869,382.0,,,,,,,,319.0,321.0,,,,,,,,48,0.562,73,,,,0.0,28.8,,0.0,28.8,,35.09,,,0.0,,,,,,,,,0.0,,51.0,2.871,,,,,,0.0,,0.2,,,,,
266,"""21602""","School Lunch, pizza, pepperoni topping, thin crust, whole grain, frozen, cooked",127.0,"1.0 piece 4""x6""",3.569,2.832,,9.68,0.441,,0.095,,24,,,,,,,,,,,,,,,,5.5,,30,,,,,,,85,,0,,,,4.736,0.127,,0.662,0.239,,,,,,,,,,,1347,,0.536,,,,,,,,,,,,,0.428,0.008,2.74,2.692,6.6,95,0.164,0.237,,3.15,,0.000,,,,,,,,,,2.482,485.0,,,,,,,,507.0,323.0,,,,,,,,46,0.425,70,,,,0.0,47.9,,0.0,47.9,,39.67,,,0.0,,,,,,,,,0.0,,65.0,2.419,,,,,,0.0,,,,,,,
267,"""21605""","School Lunch, pizza, sausage topping, thick crust, whole grain, frozen, cooked",129.0,1.0 slice per 1/10 pizza,5.443,1.561,,4.8,0.421,,0.121,,32,,,,,,,,,,,,,,,,5.2,,30,,,,,,,70,,0,,,,5.289,0.159,,1.009,0.110,,,,,,,,,,,1387,,0.699,,,,,,,,,,,,,0.401,0.001,0.44,3.728,4.3,77,0.212,0.157,,2.3,,0.004,,,,,,,,,,1.379,364.0,1.5,,,,,,,399.0,332.0,,,,,,,,72,0.484,104,,,,0.0,37.5,,0.0,37.5,,39.45,,,0.0,,,,,,,,,0.0,,30.0,3.216,,,,,,0.0,,0.5,,,,,
268,"""21604""","School Lunch, pizza, sausage topping, thin crust, whole grain, frozen, cooked",133.0,"1.0 piece 4"" x 6""",4.639,1.311,,10.01,0.364,,0.125,,32,,,,,,,,,,,,,,,,5.2,,32,,,,,,,105,,0,,,,4.999,0.136,,0.846,0.108,,,,,,,,,,,1391,,0.697,,,,,,,,,,,,,0.452,0.003,2.90,2.985,7.0,118,0.215,0.251,,2.66,,0.001,,,,,,,,,,1.149,512.0,,,,,,,,608.0,332.0,,,,,,,,63,,94,,,,0.0,50.5,,0.0,50.5,,42.88,,,0.0,,,,,,,,,0.0,,69.0,2.648,,,,,,0.0,,0.8,,,,,
269,"""21149""","School Lunch, pizza, TONY'S Breakfast Pizza Sausage, frozen",91.0,1.0 piece 3.2 oz,3.158,2.712,1.20,5.34,0.237,,,,,,,,,,,,,,,,,,,,1.8,,,,,,,,,82,,,,,,2.844,,,,,,,,,,,,,,,914,,,,,,,,,,,,,,,0.255,,0.94,2.248,,,,,,2.17,,,,,,,,,,,,,,,,,,,,,359.0,218.0,,,,,,,,,,,,,,,,,,,,24.56,,,,,,,,,,,,,,,,,,,,,,,,,,,0.68,
270,"""21147""","School Lunch, pizza, TONY'S SMARTPIZZA Whole Grain 4x6 Cheese Pizza 50/50 Cheese, frozen",130.0,"1.0 piece 4"" x 6""",3.627,2.990,2.73,8.79,0.351,,,,,,,,,,,,,,,,,,,,4.9,,,,,,,,,73,,,,,,3.7,,,,,,,,,,,,,,,1268,,,,,,,,,,,,,,,0.429,,1.85,2.21,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,421.0,303.0,,,,,,,,,,,,,,,,,,,,38.05,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05,
271,"""21148""","School Lunch, pizza, TONY'S SMARTPIZZA Whole Grain 4x6 Pepperoni Pizza 50/50 Cheese, frozen",127.0,"1.0 piece 4""x6""",3.569,2.832,2.63,9.19,0.419,,,,,,,,,,,,,,,,,,,,5.2,,,,,,,,,80,,,,,,4.5,,,,,,,,,,,,,,,1262,,,,,,,,,,,,,,,0.406,,2.60,2.692,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,481.0,302.0,,,,,,,,,,,,,,,,,,,,36.63,,,,,,,,,,,,,,,,,,,,,,,,,,,0.85,
272,"""21161""","SUBWAY, B.L.T. sub on white bread with bacon, lettuce and tomato",148.0,6.0 inch sub,2.837,2.393,2.50,5.34,0.599,,0.0,0.013,,0.149,0.43,,,,,0.59,0.031,0.062,0.0,,,0.015,,0.040,2.4,0.004,107,,,,,,,0,,,,,,7.178,0.149,0.021,0.82,0.155,1.63,0.001,,0.016,,,,,,,1267,0.031,0.089,,,,0.015,81.44,0,0.83,,311.0,0.000,62,0.006,0.414,0.000,0.27,3.487,,4,0.004,0.148,0.010,2.71,0.25,0.003,,,,0.178,524.0,0.0,0.00,0.004,,2.13,275.0,,,,,0.015,,0.00,104.0,303.0,0.001,,,,,,,,,,,,,,,,,,,39.46,0.000,,0.0,,3.195,2.103,,0.644,,,,,,,3.226,,,0.010,0.031,0.046,,,,0.0,,,0.0,0.013
273,"""21209""","SUBWAY, black forest ham sub on white bread with lettuce and tomato",184.0,6.0 inch sub,1.152,1.529,2.43,6.51,0.694,,0.0,0.013,,0.114,0.53,,,,,0.66,0.011,0.026,0.0,,,0.006,,0.011,2.4,0.002,140,,,,,,,0,,,,,,7.691,0.151,0.007,0.298,0.120,2.80,0.0,,0.009,,,,,,,1161,0.011,0.026,,,,0.013,116.4,0,0.85,,311.0,0.000,46,0.004,0.447,0.000,0.22,1.404,,4,0.002,0.320,0.009,3.99,0.24,0.002,,,,0.072,729.0,0.0,0.00,0.002,,1.352,675.0,,,,,0.013,,0.00,75.0,278.0,0.000,,,,,,,,,,,,,,,,,,,42.15,0.000,,0.0,,1.290,1.336,,0.800,,,,,,,1.299,,,0.007,0.022,0.024,,,,0.0,,,0.0,0.004
274,"""21213""","SUBWAY, cold cut sub on white bread with lettuce and tomato",196.0,6.0 inch sub,6.966,3.777,2.74,6.23,0.672,1.474,0.018,0.025,,0.204,0.80,0.845,0.962,0.016,,0.47,0.182,0.129,0.0,4.812,1.452,0.051,,0.094,2.4,0.008,225,,,,,,,31,,,0.137,20.62,539,8.473,0.165,0.080,2.23,0.210,2.41,0.033,,,,,,0.649,0.006,0.92,1756,0.198,0.349,,,,0.035,110.76,35,0.73,0.884,335.0,0.016,120,0.031,0.523,0.002,0.43,7.283,,43,0.045,0.398,0.016,4.9,0.20,0.016,,,,0.359,1127.0,0.025,0.00,0.010,,3.328,553.0,35.1,2.003,19.68,0.374,0.035,,0.00,333.0,419.0,0.000,0.196,30.71,53,0.51,0.033,39.0,,,,0.845,4.071,220.0,,,,,,,40.04,0.000,,4.0,,6.499,3.263,,1.088,0.982,,0.047,,,,6.68,0.590,,0.025,0.071,0.233,,,,0.0,0.412,0.012,0.16,0.027
275,"""21157""","SUBWAY, meatball marinara sub on white bread (no toppings)",209.0,6.0 inch sub,6.529,2.351,4.37,10.41,0.522,,0.0,0.010,,0.201,1.65,,,,,0.65,0.761,0.056,0.0,,,0.123,,0.006,4.4,0.000,199,,,,,,,0,,,,,,7.413,0.278,0.184,2.048,0.211,4.03,0.13,,0.013,,,,,,,1917,0.803,0.449,,,,0.079,112.0,0,1.38,,368.0,0.042,366,0.073,0.529,0.002,1.15,7.468,,31,0.013,0.276,0.015,4.54,0.50,0.002,,,,0.533,913.0,0.0,0.00,0.006,,2.086,575.0,,,,,0.077,,0.00,610.0,458.0,0.002,,,,,,,,,,,,,,,,,,,54.36,0.000,,0.0,,5.819,1.925,,0.888,,,,,,,6.579,,,0.013,0.019,0.880,,,,0.0,,,0.0,0.084
276,"""21211""","SUBWAY, oven roasted chicken sub on white bread with lettuce and tomato",198.0,6.0 inch sub,1.434,1.885,2.57,5.92,2.291,,0.0,0.016,,0.131,0.83,,,,,0.61,0.016,0.032,0.0,,,0.004,,0.008,2.4,0.002,148,,,,,,,4,,,,,,10.316,0.150,0.006,0.287,0.135,1.92,0.004,,0.016,,,,,,,1301,0.016,0.020,,,,0.014,125.04,0,0.77,,305.0,0.000,67,0.004,0.455,0.002,0.16,1.845,,10,0.0,0.513,0.012,2.97,0.26,0.002,,,,0.186,531.0,0.0,0.00,0.004,,1.665,392.0,,,,,0.014,,0.00,127.0,311.0,0.002,,,,,,,,,,,,,,,,,,,42.27,0.000,,0.0,,1.602,1.645,,1.287,,,,,,,1.618,,,0.014,0.036,0.030,,,,0.0,,,0.0,0.006
277,"""21210""","SUBWAY, roast beef sub on white bread with lettuce and tomato",190.0,6.0 inch sub,1.847,1.364,2.66,5.7,0.437,1.811,0.008,0.006,,0.12,0.55,0.992,1.324,0.002,,0.63,0.074,0.017,0.0,5.373,1.771,0.019,,0.002,1.3,0.000,84,,,,,,,6,,,0.114,23.12,405,7.948,0.154,0.029,0.623,0.123,2.03,0.019,,0.013,,,,0.798,0.002,1.01,1229,0.084,0.104,,,,0.015,119.85,4,0.82,0.954,312.0,0.010,76,0.017,0.488,0.008,0.84,1.499,,11,0.019,0.523,0.011,3.19,0.25,0.002,,,,0.085,625.0,0.013,0.00,0.011,,1.172,357.0,37.4,2.122,5.19,0.093,0.015,,0.00,146.0,294.0,0.004,0.272,29.64,34,0.623,0.011,32.3,,,,1.051,0.982,224.0,,,,,,,38.65,0.000,,0.0,,1.271,1.146,,0.788,1.226,,0.019,,,,1.345,0.720,,0.011,0.027,0.099,,,,0.0,0.505,0.006,0.0,0.011
278,"""21159""","SUBWAY, steak  &  cheese sub on white bread with American cheese, lettuce and tomato",201.0,6.0 inch sub,4.084,1.696,2.91,6.85,0.509,,0.042,0.010,,0.135,0.80,,,,,0.8,0.310,0.030,0.0,,,0.050,,0.004,2.4,0.000,113,,,,,,,18,,,,,,7.202,0.173,0.074,0.965,0.141,2.73,0.066,,0.014,,,,,,,1540,0.322,0.412,,,,0.046,118.35,0,0.88,,368.0,0.012,66,0.05,0.529,0.004,1.17,3.489,,24,0.078,0.390,0.010,4.04,0.30,0.002,,,,0.241,892.0,0.062,0.00,0.010,,1.473,368.0,,,,,0.044,,0.00,175.0,368.0,0.002,,,,,,,,,,,,,,,,,,,43.19,0.000,,0.0,,2.778,1.393,,0.884,,,,,,,3.087,,,0.014,0.038,0.368,,,,0.0,,0.024,0.0,0.034
